ISBN,Number,%,Publisher
"(None,)",339,2.6416270552481884,Bernaskoni
"('00428795',)",10,0.07792410192472532,Вопросы литературы
"('01302523',)",6,0.04675446115483519,"журнал ""Искусство"""
"('01312383',)",8,0.06233928153978025,Композитор
"('01316885',)",7,0.05454687134730772,Союз театральных деятелей РФ
"('01360108',)",7,0.05454687134730772,СЕАНС
"('02358212',)",46,0.35845086885373645,Киноведческие записки
"('08694397',)",8,0.06233928153978025,Артгид
"('08694516',)",3,0.023377230577417595,Композитор
"('08695377',)",4,0.031169640769890126,Институт экономической политики им. Е.Т. Гайдара
"('08696322',)",13,0.10130133250214292,РОССПЭН
"('08696365',)",3,0.023377230577417595,НЛО
"('13852043',)",7,0.05454687134730772,Проект Медиа
"('16089057',)",25,0.1948102548118133,Высшая антропологическая школа
"('16440919',)",2,0.015584820384945063,Транслит
"('1812304Х',)",15,0.11688615288708798,ММСИ
"('18188486',)",13,0.10130133250214292,АРГО-РИСК
"('19996144',)",9,0.07013169173225278,Вопросы литературы
"('20744978',)",17,0.13247097327203303,Транслит
"('22195424',)",12,0.09350892230967038,Опустошитель
"('22209050',)",7,0.05454687134730772,РФСОИН
"('22248307',)",3,0.023377230577417595,Проект Медиа
"('23120800',)",2,0.015584820384945063,Центр изучения современной поэзии Института филологии
"('23465824',)",2,0.015584820384945063,Таллиннский университет
"('24092819',)",3,0.023377230577417595,Носорог
"('2409–2819',)",4,0.031169640769890126,Носорог
"('24105309',)",3,0.023377230577417595,Университет Дмитрия Пожарского 
"('25877674',)",3,0.023377230577417595,KIMONO
"('26586541',)",2,0.015584820384945063,РГГУ
"('27129896',)",2,0.015584820384945063,Улитка Коперника
"('2712990Х',)",5,0.03896205096236266,Улитка Коперника
"('27821722',)",3,0.023377230577417595,ВЦИОМ
"('27821870',)",3,0.023377230577417595,Москино
"('27822680',)",2,0.015584820384945063,Фонд инвестиционных программ
"('27823660',)",7,0.05454687134730772,Институт экономической политики
"('4,62717E+12',)",3,0.023377230577417595,Шанс
"('5718708703',)",2,0.015584820384945063,Красный матрос
"('5805500922',)",2,0.015584820384945063,ИРИ РАН
"('5867934721',)",9,0.07013169173225278,НЛО
"('5896471351',)",2,0.015584820384945063,ББИ
"('5902525276',)",2,0.015584820384945063,Русский импульс
"('9,77181E+12',)",2,0.015584820384945063,ММСИ
"('9,77235E+12',)",3,0.023377230577417595,Таллиннский университет
"('9,78514E+12',)",2,0.015584820384945063,Проект Россия
"('9,7856E+12',)",4,0.031169640769890126,Белое яблоко
"('9,785E+12',)",2,0.015584820384945063,Вопросы литературы
"('9,78601E+12',)",4,0.031169640769890126,Фолиант
"('9770869439006',)",2,0.015584820384945063,Артгид
"('9780486225432',)",2,0.015584820384945063,Радикальная теория и практика
"('9782981311504',)",2,0.015584820384945063,"Фонд ""Избранные Иисуса"""
"('9783876674360',)",2,0.015584820384945063,Райхль
"('9785434403245',)",2,0.015584820384945063,Институт компьютерных исследований
"('9785434408813',)",2,0.015584820384945063,ИКИ
"('9785444809587',)",2,0.015584820384945063,SapereAude
"('9785444817872',)",2,0.015584820384945063,НЛО
"('9785444817889',)",2,0.015584820384945063,НЛО
"('9785444817919',)",2,0.015584820384945063,НЛО
"('9785444817926',)",2,0.015584820384945063,НЛО
"('9785600004658',)",2,0.015584820384945063,Меганом
"('9785604082461',)",2,0.015584820384945063,jellyfish jam
"('9785604232309',)",2,0.015584820384945063,PressPass
"('9785604483237',)",2,0.015584820384945063,Архипелаг
"('9785604535486',)",2,0.015584820384945063,Academic Studies Press 
"('9785604535493',)",2,0.015584820384945063,Academic Studies Press 
"('9785604541319',)",2,0.015584820384945063,Русская философия
"('9785604549766',)",2,0.015584820384945063,CHAOSSS PRESS
"('9785604554449',)",2,0.015584820384945063,Гудвин
"('9785604660195',)",2,0.015584820384945063,Jaromir Hladik press
"('9785604728833',)",2,0.015584820384945063,No Kidding Press
"('9785604734445',)",2,0.015584820384945063,Гудвин
"('9785604739518',)",2,0.015584820384945063,Порядок слов
"('9785751609306',)",2,0.015584820384945063,Книжники
"('9785752529962',)",2,0.015584820384945063,Кабинетный ученый
"('9785752529979',)",2,0.015584820384945063,Кабинетный ученый
"('9785752530920',)",2,0.015584820384945063,Кабинетный ученый
"('9785758401347',)",2,0.015584820384945063,Кабинетный ученый
"('9785758403839',)",2,0.015584820384945063,Кабинетный ученый
"('9785778405011',)",2,0.015584820384945063,Аграф
"('9785802925874',)",2,0.015584820384945063,Аркаим
"('9785824323245',)",2,0.015584820384945063,РОССПЭН
"('9785858242208',)",2,0.015584820384945063,Посев
"('9785867936273',)",2,0.015584820384945063,НЛО
"('9785867936945',)",2,0.015584820384945063,НЛО
"('9785867937300',)",2,0.015584820384945063,НЛО
"('9785875320835',)",2,0.015584820384945063,Academia
"('9785887882185',)",2,0.015584820384945063,Оренбургское книжное издательство им. Г.П. Донковцева
"('9785887882444',)",2,0.015584820384945063,Оренбургское книжное издательство им. Г.П. Донковцева
"('9785894231105',)",5,0.03896205096236266,Ab Imperio
"('9785896472988',)",2,0.015584820384945063,ББИ
"('9785900309354',)",2,0.015584820384945063,Книжники
"('9785901574997',)",2,0.015584820384945063,Скименъ
"('9785903612239',)",2,0.015584820384945063,Жизнь с Богом
"('9785904155155',)",2,0.015584820384945063,ArsisBooks
"('9785904155827',)",2,0.015584820384945063,ArsisBooks
"('9785904584351',)",2,0.015584820384945063,Livebook / Гаятри
"('9785905669293',)",2,0.015584820384945063,СЕАНС
"('9785906154880',)",2,0.015584820384945063,Ганга
"('9785906999078',)",2,0.015584820384945063,Книжники
"('9785906999122',)",2,0.015584820384945063,Книжники
"('9785907059610',)",2,0.015584820384945063,Ганга
"('9785907059702',)",2,0.015584820384945063,Ганга
"('9785907147003',)",2,0.015584820384945063,Настя и Никита
"('9785907147843',)",2,0.015584820384945063,Настя и Никита
"('9785911034047',)",2,0.015584820384945063,Ad Marginem
"('9785911034559',)",2,0.015584820384945063,Ad Marginem
"('9785911035075',)",2,0.015584820384945063,Ad Marginem
"('9785912083198',)",2,0.015584820384945063,Arca Publishers
"('9785912440205',)",2,0.015584820384945063,РФСОИН
"('9785912442537',)",2,0.015584820384945063,РФСОИН
"('9785914760776',)",2,0.015584820384945063,Пушкинский Дом
"('9785916110050 ',)",2,0.015584820384945063,ММСИ
"('9785916110395',)",2,0.015584820384945063,Maier
"('9785916110708',)",2,0.015584820384945063,ММСИ
"('9785916271867',)",2,0.015584820384945063,Русский Гулливер
"('9785916271881',)",2,0.015584820384945063,Русский Гулливер
"('9785916272260',)",2,0.015584820384945063,Русский Гулливер
"('9785919651239',)",2,0.015584820384945063,Библиотека Московского Концептуализма Германа Титова
"('9785919961390',)",2,0.015584820384945063,ЭксЭл Медиа
